local_id,name,canonical_name,category_name,status,problem,page_url,inventory_image_url,world_image_url,color_image_url,inventory_image_path,world_image_path,color_image_path,internal_item_id,internal_tile_id
73,Rainbow Cloud,rainbow cloud,Other Found,ok,,https://terraria.wiki.gg/wiki/Rainbow_Cloud,https://terraria.wiki.gg/images/Rainbow_Cloud.png?a459c9,https://terraria.wiki.gg/images/Rainbow_Cloud_%28placed%29.gif?fb8ee5,https://terraria.wiki.gg/images/Rainbow_Cloud_%28placed%29.gif?fb8ee5,images\inventory\73_rainbow_cloud_inventory.png,images\world\73_rainbow_cloud_world.gif,images\color\73_rainbow_cloud_color.gif,5571,719
74,Flame Trap,flame trap,Trap Blocks,problem,missing_world_image,https://terraria.wiki.gg/wiki/Flame_Trap,https://terraria.wiki.gg/images/Flame_Trap.png?70d80d,,,images\inventory\74_flame_trap_inventory.png,,,1147,137
75,Platinum Ore,platinum ore,Ore,ok,,https://terraria.wiki.gg/wiki/Platinum_Ore,https://terraria.wiki.gg/images/Platinum_Ore.png?93b5ed,https://terraria.wiki.gg/images/Platinum_Ore_%28placed%29.png?372564,https://terraria.wiki.gg/images/Platinum_Ore_%28placed%29.png?372564,images\inventory\75_platinum_ore_inventory.png,images\world\75_platinum_ore_world.png,images\color\75_platinum_ore_color.png,702,169
76,Tin Brick,tin brick,Bricks,ok,,https://terraria.wiki.gg/wiki/Tin_Brick,https://terraria.wiki.gg/images/Tin_Brick.png?22165a,https://terraria.wiki.gg/images/Tin_Brick_%28placed%29.png?5fd587,https://terraria.wiki.gg/images/Tin_Brick_%28placed%29.png?5fd587,images\inventory\76_tin_brick_inventory.png,images\world\76_tin_brick_world.png,images\color\76_tin_brick_color.png,717,175
77,Crystal Block,crystal block,Other Crafted,ok,,https://terraria.wiki.gg/wiki/Crystal_Block,https://terraria.wiki.gg/images/Crystal_Block.png?c572ca,https://terraria.wiki.gg/images/Crystal_Block_%28placed%29.png?191047,https://terraria.wiki.gg/images/Crystal_Block_%28placed%29.png?191047,images\inventory\77_crystal_block_inventory.png,images\world\77_crystal_block_world.png,images\color\77_crystal_block_color.png,3234,385
78,Pink Team Block,pink team block,Purchased,problem,missing_world_image,https://terraria.wiki.gg/wiki/Pink_Team_Block,https://terraria.wiki.gg/images/Pink_Team_Block.png?eb79a6,,,images\inventory\78_pink_team_block_inventory.png,,,3621,426
79,Crimsand Block,crimsand block,Soil,problem,missing_world_image,https://terraria.wiki.gg/wiki/Crimsand_Block,https://terraria.wiki.gg/images/Crimsand_Block.png?8d435f,,,images\inventory\79_crimsand_block_inventory.png,,,169,53
80,Hay,hay,Grown,ok,,https://terraria.wiki.gg/wiki/Hay,https://terraria.wiki.gg/images/Hay.png?3c5c4d,https://terraria.wiki.gg/images/Hay_%28placed%29.png?280f77,https://terraria.wiki.gg/images/Hay_%28placed%29.png?280f77,images\inventory\80_hay_inventory.png,images\world\80_hay_world.png,images\color\80_hay_color.png,1727,252
81,Star Cloud,star cloud,Other Found,ok,,https://terraria.wiki.gg/wiki/Star_Cloud,https://terraria.wiki.gg/images/Star_Cloud.png?d02f89,https://terraria.wiki.gg/images/Star_Cloud_%28placed%29.png?8b561f,https://terraria.wiki.gg/images/Star_Cloud_%28placed%29.png?8b561f,images\inventory\81_star_cloud_inventory.png,images\world\81_star_cloud_world.png,images\color\81_star_cloud_color.png,5570,718
82,Spike,spike,Trap Blocks,ok,,https://terraria.wiki.gg/wiki/Spike,https://terraria.wiki.gg/images/Spike.png?cba9a3,https://terraria.wiki.gg/images/Spike_%28placed%29.png?8d3331,https://terraria.wiki.gg/images/Spike_%28placed%29.png?8d3331,images\inventory\82_spike_inventory.png,images\world\82_spike_world.png,images\color\82_spike_color.png,147,48
83,Meteorite,meteorite,Ore,ok,,https://terraria.wiki.gg/wiki/Meteorite,https://terraria.wiki.gg/images/Meteorite.png?e7cc21,https://terraria.wiki.gg/images/Meteorite_%28placed%29.png?304d6a,https://terraria.wiki.gg/images/Meteorite_%28placed%29.png?304d6a,images\inventory\83_meteorite_inventory.png,images\world\83_meteorite_world.png,images\color\83_meteorite_color.png,116,37
84,Iron Brick,iron brick,Bricks,ok,,https://terraria.wiki.gg/wiki/Iron_Brick,https://terraria.wiki.gg/images/Iron_Brick.png?ede9d1,https://terraria.wiki.gg/images/Iron_Brick_%28placed%29.png?1e4643,https://terraria.wiki.gg/images/Iron_Brick_%28placed%29.png?1e4643,images\inventory\84_iron_brick_inventory.png,images\world\84_iron_brick_world.png,images\color\84_iron_brick_color.png,3951,472
85,Flesh Block,flesh block,Other Crafted,ok,,https://terraria.wiki.gg/wiki/Flesh_Block,https://terraria.wiki.gg/images/Flesh_Block.png?cd7976,https://terraria.wiki.gg/images/Flesh_Block_%28placed%29.png?4858ae,https://terraria.wiki.gg/images/Flesh_Block_%28placed%29.png?4858ae,images\inventory\85_flesh_block_inventory.png,images\world\85_flesh_block_world.png,images\color\85_flesh_block_color.png,763,195
86,White Team Block,white team block,Purchased,problem,missing_world_image,https://terraria.wiki.gg/wiki/White_Team_Block,https://terraria.wiki.gg/images/White_Team_Block.png?b64031,,,images\inventory\86_white_team_block_inventory.png,,,3621,426
87,Pearlsand Block,pearlsand block,Soil,problem,missing_world_image,https://terraria.wiki.gg/wiki/Pearlsand_Block,https://terraria.wiki.gg/images/Pearlsand_Block.png?6888f6,,,images\inventory\87_pearlsand_block_inventory.png,,,169,53
88,Cactus,cactus,Grown,problem,missing_inventory_image,https://terraria.wiki.gg/wiki/Cactus,,https://terraria.wiki.gg/images/Growing_cactus.png?e5dbf3,https://terraria.wiki.gg/images/Growing_cactus.png?e5dbf3,,images\world\88_cactus_world.png,images\color\88_cactus_color.png,,80
89,Lava Cloud,lava cloud,Other Found,ok,,https://terraria.wiki.gg/wiki/Lava_Cloud,https://terraria.wiki.gg/images/Lava_Cloud.png?1c5e05,https://terraria.wiki.gg/images/Lava_Cloud_%28placed%29.gif?eba2a9,https://terraria.wiki.gg/images/Lava_Cloud_%28placed%29.gif?eba2a9,images\inventory\89_lava_cloud_inventory.png,images\world\89_lava_cloud_world.gif,images\color\89_lava_cloud_color.gif,5569,717
90,Wooden Spike,wooden spike,Trap Blocks,ok,,https://terraria.wiki.gg/wiki/Wooden_Spike,https://terraria.wiki.gg/images/Wooden_Spike.png?a97d83,https://terraria.wiki.gg/images/Wooden_Spike_%28placed%29.png?b13232,https://terraria.wiki.gg/images/Wooden_Spike_%28placed%29.png?b13232,images\inventory\90_wooden_spike_inventory.png,images\world\90_wooden_spike_world.png,images\color\90_wooden_spike_color.png,1150,232
91,Demonite Ore,demonite ore,Ore,ok,,https://terraria.wiki.gg/wiki/Demonite_Ore,https://terraria.wiki.gg/images/Demonite_Ore.png?5e57cb,https://terraria.wiki.gg/images/Demonite_Ore_%28placed%29.png?5fd4e1,https://terraria.wiki.gg/images/Demonite_Ore_%28placed%29.png?5fd4e1,images\inventory\91_demonite_ore_inventory.png,images\world\91_demonite_ore_world.png,images\color\91_demonite_ore_color.png,56,22
92,Lead Brick,lead brick,Bricks,ok,,https://terraria.wiki.gg/wiki/Lead_Brick,https://terraria.wiki.gg/images/Lead_Brick.png?b34832,https://terraria.wiki.gg/images/Lead_Brick_%28placed%29.png?d808d9,https://terraria.wiki.gg/images/Lead_Brick_%28placed%29.png?d808d9,images\inventory\92_lead_brick_inventory.png,images\world\92_lead_brick_world.png,images\color\92_lead_brick_color.png,3953,473
93,Lesion Block,lesion block,Other Crafted,ok,,https://terraria.wiki.gg/wiki/Lesion_Block,https://terraria.wiki.gg/images/Lesion_Block.png?8df9e3,https://terraria.wiki.gg/images/Lesion_Block_%28placed%29.png?142a45,https://terraria.wiki.gg/images/Lesion_Block_%28placed%29.png?142a45,images\inventory\93_lesion_block_inventory.png,images\world\93_lesion_block_world.png,images\color\93_lesion_block_color.png,3955,474
94,Dull Red Team Block,dull red team block,Purchased,problem,missing_inventory_image_and_world_image,https://terraria.wiki.gg/wiki/Dull_Red_Team_Block,,,,,,,3621,426
95,Sandstone Block,sandstone block,Soil,problem,missing_world_image,https://terraria.wiki.gg/wiki/Sandstone_Block,https://terraria.wiki.gg/images/Sandstone_Block.png?f5460d,,,images\inventory\95_sandstone_block_inventory.png,,,3271,396
96,Pumpkin,pumpkin,Grown,ok,,https://terraria.wiki.gg/wiki/Pumpkin,https://terraria.wiki.gg/images/Pumpkin.png?522bb6,https://terraria.wiki.gg/images/Pumpkin_%28placed%29.png?67d391,https://terraria.wiki.gg/images/Pumpkin_%28placed%29.png?67d391,images\inventory\96_pumpkin_inventory.png,images\world\96_pumpkin_world.png,images\color\96_pumpkin_color.png,1725,251
97,Sunplate Block,sunplate block,Other Found,ok,,https://terraria.wiki.gg/wiki/Sunplate_Block,https://terraria.wiki.gg/images/Sunplate_Block.png?b53c88,https://terraria.wiki.gg/images/Sunplate_Block_%28placed%29.png?b301b4,https://terraria.wiki.gg/images/Sunplate_Block_%28placed%29.png?b301b4,images\inventory\97_sunplate_block_inventory.png,images\world\97_sunplate_block_world.png,images\color\97_sunplate_block_color.png,824,202
98,Geyser,geyser,Trap Blocks,ok,,https://terraria.wiki.gg/wiki/Geyser,https://terraria.wiki.gg/images/Geyser.png?5d5450,https://terraria.wiki.gg/images/Geyser_%28placed%29.png?26bf89,https://terraria.wiki.gg/images/Geyser_%28placed%29.png?26bf89,images\inventory\98_geyser_inventory.png,images\world\98_geyser_world.png,images\color\98_geyser_color.png,3722,443
99,Crimtane Ore,crimtane ore,Ore,ok,,https://terraria.wiki.gg/wiki/Crimtane_Ore,https://terraria.wiki.gg/images/Crimtane_Ore.png?6e40a8,https://terraria.wiki.gg/images/Crimtane_Ore_%28placed%29.png?441b30,https://terraria.wiki.gg/images/Crimtane_Ore_%28placed%29.png?441b30,images\inventory\99_crimtane_ore_inventory.png,images\world\99_crimtane_ore_world.png,images\color\99_crimtane_ore_color.png,880,204
100,Silver Brick,silver brick,Bricks,ok,,https://terraria.wiki.gg/wiki/Silver_Brick,https://terraria.wiki.gg/images/Silver_Brick.png?e4b58e,https://terraria.wiki.gg/images/Silver_Brick_%28placed%29.png?7d8355,https://terraria.wiki.gg/images/Silver_Brick_%28placed%29.png?7d8355,images\inventory\100_silver_brick_inventory.png,images\world\100_silver_brick_world.png,images\color\100_silver_brick_color.png,143,46
101,Reef Block,reef block,Other Crafted,ok,,https://terraria.wiki.gg/wiki/Reef_Block,https://terraria.wiki.gg/images/Reef_Block.png?62562d,https://terraria.wiki.gg/images/Reef_Block_%28placed%29.png?5a7d05,https://terraria.wiki.gg/images/Reef_Block_%28placed%29.png?5a7d05,images\inventory\101_reef_block_inventory.png,images\world\101_reef_block_world.png,images\color\101_reef_block_color.png,5306,641
102,Dull Green Team Block,dull green team block,Purchased,problem,missing_inventory_image_and_world_image,https://terraria.wiki.gg/wiki/Dull_Green_Team_Block,,,,,,,3621,426
103,Ebonsandstone Block,ebonsandstone block,Soil,problem,missing_world_image,https://terraria.wiki.gg/wiki/Ebonsandstone_Block,https://terraria.wiki.gg/images/Ebonsandstone_Block.png?74f036,,,images\inventory\103_ebonsandstone_block_inventory.png,,,3271,396
104,Bamboo,bamboo,Grown,problem,missing_inventory_image,https://terraria.wiki.gg/wiki/Bamboo,,https://terraria.wiki.gg/images/thumb/Tree_%28Bamboo%29.png/12px-Tree_%28Bamboo%29.png?e592e5,https://terraria.wiki.gg/images/thumb/Tree_%28Bamboo%29.png/12px-Tree_%28Bamboo%29.png?e592e5,,images\world\104_bamboo_world.png,images\color\104_bamboo_color.png,,571
105,Moonplate Block,moonplate block,Other Found,ok,,https://terraria.wiki.gg/wiki/Moonplate_Block,https://terraria.wiki.gg/images/Moonplate_Block.png?f02627,https://terraria.wiki.gg/images/Moonplate_Block_%28placed%29.png?6b92c7,https://terraria.wiki.gg/images/Moonplate_Block_%28placed%29.png?6b92c7,images\inventory\105_moonplate_block_inventory.png,images\world\105_moonplate_block_world.png,images\color\105_moonplate_block_color.png,5996,743
106,Boulder,boulder,Trap Blocks,ok,,https://terraria.wiki.gg/wiki/Boulder,https://terraria.wiki.gg/images/Boulder.png?2b99f1,https://terraria.wiki.gg/images/Boulder_%28placed%29.png?3a6f73,https://terraria.wiki.gg/images/Boulder_%28placed%29.png?3a6f73,images\inventory\106_boulder_inventory.png,images\world\106_boulder_world.png,images\color\106_boulder_color.png,540,138
107,Obsidian,obsidian,Ore,ok,,https://terraria.wiki.gg/wiki/Obsidian,https://terraria.wiki.gg/images/Obsidian.png?146cc4,https://terraria.wiki.gg/images/Obsidian_%28placed%29.png?5ee432,https://terraria.wiki.gg/images/Obsidian_%28placed%29.png?5ee432,images\inventory\107_obsidian_inventory.png,images\world\107_obsidian_world.png,images\color\107_obsidian_color.png,173,56
108,Tungsten Brick,tungsten brick,Bricks,ok,,https://terraria.wiki.gg/wiki/Tungsten_Brick,https://terraria.wiki.gg/images/Tungsten_Brick.png?502540,https://terraria.wiki.gg/images/Tungsten_Brick_%28placed%29.png?599b44,https://terraria.wiki.gg/images/Tungsten_Brick_%28placed%29.png?599b44,images\inventory\108_tungsten_brick_inventory.png,images\world\108_tungsten_brick_world.png,images\color\108_tungsten_brick_color.png,718,176
109,Shell Pile,shell pile,Other Crafted,ok,,https://terraria.wiki.gg/wiki/Shell_Pile,https://terraria.wiki.gg/images/Shell_Pile.png?d53050,https://terraria.wiki.gg/images/Shell_Pile_%28placed%29.png?ddbd4f,https://terraria.wiki.gg/images/Shell_Pile_%28placed%29.png?ddbd4f,images\inventory\109_shell_pile_inventory.png,images\world\109_shell_pile_world.png,images\color\109_shell_pile_color.png,4090,495
110,Dull Blue Team Block,dull blue team block,Purchased,problem,missing_inventory_image_and_world_image,https://terraria.wiki.gg/wiki/Dull_Blue_Team_Block,,,,,,,3621,426
111,Crimsandstone Block,crimsandstone block,Soil,problem,missing_world_image,https://terraria.wiki.gg/wiki/Crimsandstone_Block,https://terraria.wiki.gg/images/Crimsandstone_Block.png?154fdd,,,images\inventory\111_crimsandstone_block_inventory.png,,,3271,396
112,Red Moss,red moss,Grown,problem,missing_world_image,https://terraria.wiki.gg/wiki/Red_Moss,https://terraria.wiki.gg/images/Red_Moss.png?913354,,,images\inventory\112_red_moss_inventory.png,,,4349,179
113,Hive,hive,Other Found,ok,,https://terraria.wiki.gg/wiki/Hive,https://terraria.wiki.gg/images/Hive.png?b01d05,https://terraria.wiki.gg/images/Hive_%28placed%29.png?2e1997,https://terraria.wiki.gg/images/Hive_%28placed%29.png?2e1997,images\inventory\113_hive_inventory.png,images\world\113_hive_world.png,images\color\113_hive_color.png,1124,225
114,Beehive,beehive,Trap Blocks,ok,,https://terraria.wiki.gg/wiki/Beehive,https://terraria.wiki.gg/images/Bee_Hive_%28item%29.png?ad75c9,https://terraria.wiki.gg/images/Bee_Hive_%28placed%29.png?38187d,https://terraria.wiki.gg/images/Bee_Hive_%28placed%29.png?38187d,images\inventory\114_beehive_inventory.png,images\world\114_beehive_world.png,images\color\114_beehive_color.png,5066,444
115,Hellstone,hellstone,Ore,ok,,https://terraria.wiki.gg/wiki/Hellstone,https://terraria.wiki.gg/images/Hellstone.png?98d9cd,https://terraria.wiki.gg/images/Hellstone_%28placed%29.png?48af5d,https://terraria.wiki.gg/images/Hellstone_%28placed%29.png?48af5d,images\inventory\115_hellstone_inventory.png,images\world\115_hellstone_world.png,images\color\115_hellstone_color.png,174,58
116,Gold Brick,gold brick,Bricks,ok,,https://terraria.wiki.gg/wiki/Gold_Brick,https://terraria.wiki.gg/images/Gold_Brick.png?ccc793,https://terraria.wiki.gg/images/Gold_Brick_%28placed%29.png?b64b74,https://terraria.wiki.gg/images/Gold_Brick_%28placed%29.png?b64b74,images\inventory\116_gold_brick_inventory.png,images\world\116_gold_brick_world.png,images\color\116_gold_brick_color.png,141,45
117,Spike Block,spike block,Other Crafted,ok,,https://terraria.wiki.gg/wiki/Spike_Block,https://terraria.wiki.gg/images/Spike_Block.png?7f847d,https://terraria.wiki.gg/images/Spike_Block_%28placed%29.png?e8b7c5,https://terraria.wiki.gg/images/Spike_Block_%28placed%29.png?e8b7c5,images\inventory\117_spike_block_inventory.png,images\world\117_spike_block_world.png,images\color\117_spike_block_color.png,6042,745
118,Dull Yellow Team Block,dull yellow team block,Purchased,problem,missing_inventory_image_and_world_image,https://terraria.wiki.gg/wiki/Dull_Yellow_Team_Block,,,,,,,3621,426
119,Pearlsandstone,pearlsandstone,Soil,problem,exception,https://terraria.wiki.gg/wiki/Pearlsandstone,,,,,,,,
120,Brown Moss,brown moss,Grown,problem,missing_world_image,https://terraria.wiki.gg/wiki/Brown_Moss,https://terraria.wiki.gg/images/Brown_Moss.png?757bd6,,,images\inventory\120_brown_moss_inventory.png,,,4349,179
121,Honey Block,honey block,Other Found,ok,,https://terraria.wiki.gg/wiki/Honey_Block,https://terraria.wiki.gg/images/Honey_Block.png?e70350,https://terraria.wiki.gg/images/Honey_Block_%28placed%29.png?7091b0,https://terraria.wiki.gg/images/Honey_Block_%28placed%29.png?7091b0,images\inventory\121_honey_block_inventory.png,images\world\121_honey_block_world.png,images\color\121_honey_block_color.png,1125,229
122,Rolling Cactus,rolling cactus,Trap Blocks,problem,missing_world_image,https://terraria.wiki.gg/wiki/Rolling_Cactus,https://terraria.wiki.gg/images/Rolling_Cactus.png?d0502c,,,images\inventory\122_rolling_cactus_inventory.png,,,4390,484
123,Cobalt Ore,cobalt ore,Ore,ok,,https://terraria.wiki.gg/wiki/Cobalt_Ore,https://terraria.wiki.gg/images/Cobalt_Ore.png?7ab475,https://terraria.wiki.gg/images/Cobalt_Ore_%28placed%29.png?e4ace6,https://terraria.wiki.gg/images/Cobalt_Ore_%28placed%29.png?e4ace6,images\inventory\123_cobalt_ore_inventory.png,images\world\123_cobalt_ore_world.png,images\color\123_cobalt_ore_color.png,364,107
124,Platinum brick,platinum brick,Bricks,problem,exception,https://terraria.wiki.gg/wiki/Platinum_brick,,,,,,,,
125,Slime Block,slime block,Other Crafted,ok,,https://terraria.wiki.gg/wiki/Slime_Block,https://terraria.wiki.gg/images/Slime_Block.png?679a60,https://terraria.wiki.gg/images/Slime_Block_%28placed%29.png?1263d5,https://terraria.wiki.gg/images/Slime_Block_%28placed%29.png?1263d5,images\inventory\125_slime_block_inventory.png,images\world\125_slime_block_world.png,images\color\125_slime_block_color.png,762,193
126,Dull Pink Team Block,dull pink team block,Purchased,problem,missing_inventory_image_and_world_image,https://terraria.wiki.gg/wiki/Dull_Pink_Team_Block,,,,,,,3621,426
127,Hardened Sand Block,hardened sand block,Soil,problem,missing_world_image,https://terraria.wiki.gg/wiki/Hardened_Sand_Block,https://terraria.wiki.gg/images/Hardened_Sand_Block.png?64a429,,,images\inventory\127_hardened_sand_block_inventory.png,,,3272,397
128,Green Moss,green moss,Grown,problem,missing_world_image,https://terraria.wiki.gg/wiki/Green_Moss,https://terraria.wiki.gg/images/Green_Moss.png?e25b22,,,images\inventory\128_green_moss_inventory.png,,,4349,179
129,Crispy Honey Block,crispy honey block,Other Found,ok,,https://terraria.wiki.gg/wiki/Crispy_Honey_Block,https://terraria.wiki.gg/images/Crispy_Honey_Block.png?20ecfa,https://terraria.wiki.gg/images/Crispy_Honey_Block_%28placed%29.png?db509f,https://terraria.wiki.gg/images/Crispy_Honey_Block_%28placed%29.png?db509f,images\inventory\129_crispy_honey_block_inventory.png,images\world\129_crispy_honey_block_world.png,images\color\129_crispy_honey_block_color.png,1127,230
130,Antlion Eggs,antlion eggs,Trap Blocks,problem,missing_world_image,https://terraria.wiki.gg/wiki/Antlion_Eggs,https://terraria.wiki.gg/images/Antlion_Eggs.png?6bc6f1,,,images\inventory\130_antlion_eggs_inventory.png,,,5067,485
131,Palladium Ore,palladium ore,Ore,ok,,https://terraria.wiki.gg/wiki/Palladium_Ore,https://terraria.wiki.gg/images/Palladium_Ore.png?ff8fe1,https://terraria.wiki.gg/images/Palladium_Ore_%28placed%29.png?cd83e9,https://terraria.wiki.gg/images/Palladium_Ore_%28placed%29.png?cd83e9,images\inventory\131_palladium_ore_inventory.png,images\world\131_palladium_ore_world.png,images\color\131_palladium_ore_color.png,1104,221
132,Ebonstone Brick,ebonstone brick,Bricks,ok,,https://terraria.wiki.gg/wiki/Ebonstone_Brick,https://terraria.wiki.gg/images/Ebonstone_Brick.png?207150,https://terraria.wiki.gg/images/Ebonstone_Brick_%28placed%29.png?8a9d09,https://terraria.wiki.gg/images/Ebonstone_Brick_%28placed%29.png?8a9d09,images\inventory\132_ebonstone_brick_inventory.png,images\world\132_ebonstone_brick_world.png,images\color\132_ebonstone_brick_color.png,609,152
133,Pink Slime Block,pink slime block,Other Crafted,ok,,https://terraria.wiki.gg/wiki/Pink_Slime_Block,https://terraria.wiki.gg/images/Pink_Slime_Block.png?db0465,https://terraria.wiki.gg/images/Pink_Slime_Block_%28placed%29.png?4437d2,https://terraria.wiki.gg/images/Pink_Slime_Block_%28placed%29.png?4437d2,images\inventory\133_pink_slime_block_inventory.png,images\world\133_pink_slime_block_world.png,images\color\133_pink_slime_block_color.png,3113,371
134,Dull White Team Block,dull white team block,Purchased,problem,missing_inventory_image_and_world_image,https://terraria.wiki.gg/wiki/Dull_White_Team_Block,,,,,,,3621,426
135,Hardened Ebonsand Block,hardened ebonsand block,Soil,problem,missing_world_image,https://terraria.wiki.gg/wiki/Hardened_Ebonsand_Block,https://terraria.wiki.gg/images/Hardened_Ebonsand_Block.png?6ba5bc,,,images\inventory\135_hardened_ebonsand_block_inventory.png,,,3272,397
136,Blue Moss,blue moss,Grown,problem,missing_world_image,https://terraria.wiki.gg/wiki/Blue_Moss,https://terraria.wiki.gg/images/Blue_Moss.png?93ca38,,,images\inventory\136_blue_moss_inventory.png,,,4349,179
137,Cobweb,cobweb,Other Found,ok,,https://terraria.wiki.gg/wiki/Cobweb,https://terraria.wiki.gg/images/Cobweb.png?5a58c4,https://terraria.wiki.gg/images/Cobweb_%28placed%29.png?b4ecea,https://terraria.wiki.gg/images/Cobweb_%28placed%29.png?b4ecea,images\inventory\137_cobweb_inventory.png,images\world\137_cobweb_world.png,images\color\137_cobweb_color.png,150,51
138,Bouncy Boulder,bouncy boulder,Trap Blocks,ok,,https://terraria.wiki.gg/wiki/Bouncy_Boulder,https://terraria.wiki.gg/images/Bouncy_Boulder.png?f50a34,https://terraria.wiki.gg/images/Bouncy_Boulder_%28placed%29.png?ae9fc9,https://terraria.wiki.gg/images/Bouncy_Boulder_%28placed%29.png?ae9fc9,images\inventory\138_bouncy_boulder_inventory.png,images\world\138_bouncy_boulder_world.png,images\color\138_bouncy_boulder_color.png,5383,664
139,Mythril Ore,mythril ore,Ore,ok,,https://terraria.wiki.gg/wiki/Mythril_Ore,https://terraria.wiki.gg/images/Mythril_Ore.png?9dd7c7,https://terraria.wiki.gg/images/Mythril_Ore_%28placed%29.png?aa0216,https://terraria.wiki.gg/images/Mythril_Ore_%28placed%29.png?aa0216,images\inventory\139_mythril_ore_inventory.png,images\world\139_mythril_ore_world.png,images\color\139_mythril_ore_color.png,365,108
140,Crimstone Brick,crimstone brick,Bricks,ok,,https://terraria.wiki.gg/wiki/Crimstone_Brick,https://terraria.wiki.gg/images/Crimstone_Brick.png?e0cd9b,https://terraria.wiki.gg/images/Crimstone_Brick_%28placed%29.png?129dad,https://terraria.wiki.gg/images/Crimstone_Brick_%28placed%29.png?129dad,images\inventory\140_crimstone_brick_inventory.png,images\world\140_crimstone_brick_world.png,images\color\140_crimstone_brick_color.png,4050,478
141,Frozen Slime Block,frozen slime block,Other Crafted,ok,,https://terraria.wiki.gg/wiki/Frozen_Slime_Block,https://terraria.wiki.gg/images/Frozen_Slime_Block.png?28a63e,https://terraria.wiki.gg/images/Frozen_Slime_Block_%28placed%29.png?d588f2,https://terraria.wiki.gg/images/Frozen_Slime_Block_%28placed%29.png?d588f2,images\inventory\141_frozen_slime_block_inventory.png,images\world\141_frozen_slime_block_world.png,images\color\141_frozen_slime_block_color.png,767,197
142,Jellyfish Block,jellyfish block,Purchased,ok,,https://terraria.wiki.gg/wiki/Jellyfish_Block,https://terraria.wiki.gg/images/Jellyfish_Block.png?53cf07,https://terraria.wiki.gg/images/Jellyfish_Block_%28placed%29.gif?de67cc,https://terraria.wiki.gg/images/Jellyfish_Block_%28placed%29.gif?de67cc,images\inventory\142_jellyfish_block_inventory.png,images\world\142_jellyfish_block_world.gif,images\color\142_jellyfish_block_color.gif,5926,739
143,Hardened Crimsand Block,hardened crimsand block,Soil,problem,missing_world_image,https://terraria.wiki.gg/wiki/Hardened_Crimsand_Block,https://terraria.wiki.gg/images/Hardened_Crimsand_Block.png?7f8102,,,images\inventory\143_hardened_crimsand_block_inventory.png,,,3272,397
144,Purple Moss,purple moss,Grown,problem,missing_world_image,https://terraria.wiki.gg/wiki/Purple_Moss,https://terraria.wiki.gg/images/Purple_Moss.png?dd944b,,,images\inventory\144_purple_moss_inventory.png,,,4349,179
145,Aetherium Block,aetherium block,Other Found,ok,,https://terraria.wiki.gg/wiki/Aetherium_Block,https://terraria.wiki.gg/images/Aetherium_Block.png?67130e,https://terraria.wiki.gg/images/Aetherium_Block_%28placed%29.png?dfc3b8,https://terraria.wiki.gg/images/Aetherium_Block_%28placed%29.png?dfc3b8,images\inventory\145_aetherium_block_inventory.png,images\world\145_aetherium_block_world.png,images\color\145_aetherium_block_color.png,5349,659
146,Life Crystal Boulder,life crystal boulder,Trap Blocks,ok,,https://terraria.wiki.gg/wiki/Life_Crystal_Boulder,https://terraria.wiki.gg/images/Life_Crystal_Boulder.png?189c87,https://terraria.wiki.gg/images/Life_Crystal_%28placed%29.gif?bc975e,https://terraria.wiki.gg/images/Life_Crystal_%28placed%29.gif?bc975e,images\inventory\146_life_crystal_boulder_inventory.png,images\world\146_life_crystal_boulder_world.gif,images\color\146_life_crystal_boulder_color.gif,5384,665
147,Orichalcum Ore,orichalcum ore,Ore,ok,,https://terraria.wiki.gg/wiki/Orichalcum_Ore,https://terraria.wiki.gg/images/Orichalcum_Ore.png?b9ab0d,https://terraria.wiki.gg/images/Orichalcum_Ore_%28placed%29.png?b97ff3,https://terraria.wiki.gg/images/Orichalcum_Ore_%28placed%29.png?b97ff3,images\inventory\147_orichalcum_ore_inventory.png,images\world\147_orichalcum_ore_world.png,images\color\147_orichalcum_ore_color.png,1105,222
148,Demonite Brick,demonite brick,Bricks,ok,,https://terraria.wiki.gg/wiki/Demonite_Brick,https://terraria.wiki.gg/images/Demonite_Brick.png?ac1cff,https://terraria.wiki.gg/images/Demonite_Brick_%28placed%29.png?dbe6f6,https://terraria.wiki.gg/images/Demonite_Brick_%28placed%29.png?dbe6f6,images\inventory\148_demonite_brick_inventory.png,images\world\148_demonite_brick_world.png,images\color\148_demonite_brick_color.png,577,140
149,Red Stucco,red stucco,Other Crafted,problem,missing_world_image,https://terraria.wiki.gg/wiki/Red_Stucco,https://terraria.wiki.gg/images/Red_Stucco.png?326c71,,,images\inventory\149_red_stucco_inventory.png,,,611,153
150,Anti-Portal Block,anti portal block,Purchased,ok,,https://terraria.wiki.gg/wiki/Anti-Portal_Block,https://terraria.wiki.gg/images/Anti-Portal_Block.png?a2d279,https://terraria.wiki.gg/images/Anti-Portal_Block_%28placed%29.png?e34576,https://terraria.wiki.gg/images/Anti-Portal_Block_%28placed%29.png?e34576,images\inventory\150_anti_portal_block_inventory.png,images\world\150_anti_portal_block_world.png,images\color\150_anti_portal_block_color.png,4091,496
151,Hardened Pearlsand Block,hardened pearlsand block,Soil,problem,missing_world_image,https://terraria.wiki.gg/wiki/Hardened_Pearlsand_Block,https://terraria.wiki.gg/images/Hardened_Pearlsand_Block.png?284bc2,,,images\inventory\151_hardened_pearlsand_block_inventory.png,,,3272,397
